Model: cuboids_0_0
Mesh: TriangleMesh with 392648 points and 588972 triangles.
Camera Bounds: (0.005, 0.005, 0.02)
Start Point: [-0.33  0.1  -0.44]
Goal Point: [ 0.22 -0.16 -0.44]
Max Time Per Path: 5

Planner: PRM
  Status: Successful
  Total Time Taken: 10.39 seconds
  Number of Paths: 100
  Average Path Length: 0.727
  Shortest Path Length: 0.66
  Longest Path Length: 0.87
  Path Length Std Dev: 0.04327817001676481
  Average Time Per Path: 0.1003 seconds
  Time Per Path Std Dev: 0.0017058722109231973 seconds

  Paths:
    Path 28: Length = 0.96 units, Duration = 0.01 seconds
    Path 29: Length = 0.9 units, Duration = 0.01 seconds
    Path 30: Length = 0.88 units, Duration = 0.01 seconds
    Path 31: Length = 0.91 units, Duration = 0.01 seconds
    Path 32: Length = 1.02 units, Duration = 0.01 seconds
    Path 33: Length = 1.05 units, Duration = 0.01 seconds
    Path 34: Length = 1.14 units, Duration = 0.01 seconds
    Path 35: Length = 0.84 units, Duration = 0.01 seconds
    Path 36: Length = 0.95 units, Duration = 0.01 seconds
    Path 37: Length = 0.8 units, Duration = 0.01 seconds
    Path 38: Length = 0.89 units, Duration = 0.01 seconds
    Path 39: Length = 0.95 units, Duration = 0.01 seconds
    Path 40: Length = 0.9 units, Duration = 0.01 seconds
    Path 41: Length = 1.1 units, Duration = 0.01 seconds
    Path 42: Length = 0.92 units, Duration = 0.01 seconds
    Path 43: Length = 0.89 units, Duration = 0.01 seconds
    Path 44: Length = 0.88 units, Duration = 0.01 seconds
    Path 45: Length = 0.91 units, Duration = 0.01 seconds
    Path 46: Length = 0.95 units, Duration = 0.02 seconds
    Path 47: Length = 0.82 units, Duration = 0.01 seconds
    Path 48: Length = 0.88 units, Duration = 0.01 seconds
    Path 49: Length = 0.83 units, Duration = 0.01 seconds
    Path 50: Length = 0.96 units, Duration = 0.01 seconds
    Path 51: Length = 0.74 units, Duration = 0.01 seconds
    Path 52: Length = 1.03 units, Duration = 0.01 seconds
    Path 53: Length = 0.92 units, Duration = 0.01 seconds
    Path 54: Length = 0.74 units, Duration = 0.01 seconds
    Path 55: Length = 0.83 units, Duration = 0.01 seconds
    Path 56: Length = 0.91 units, Duration = 0.01 seconds
    Path 57: Length = 0.95 units, Duration = 0.01 seconds
    Path 58: Length = 1.06 units, Duration = 0.02 seconds
    Path 59: Length = 0.84 units, Duration = 0.01 seconds
    Path 60: Length = 1.03 units, Duration = 0.01 seconds
    Path 61: Length = 1.04 units, Duration = 0.02 seconds
    Path 62: Length = 0.92 units, Duration = 0.01 seconds
    Path 63: Length = 0.86 units, Duration = 0.01 seconds
    Path 64: Length = 0.97 units, Duration = 0.02 seconds
    Path 65: Length = 0.79 units, Duration = 0.01 seconds
    Path 66: Length = 0.7 units, Duration = 0.01 seconds
    Path 67: Length = 1.13 units, Duration = 0.01 seconds
    Path 68: Length = 0.95 units, Duration = 0.01 seconds
    Path 69: Length = 1.01 units, Duration = 0.01 seconds
    Path 70: Length = 0.81 units, Duration = 0.01 seconds
    Path 71: Length = 1.19 units, Duration = 0.01 seconds
    Path 72: Length = 0.8 units, Duration = 0.01 seconds
    Path 73: Length = 0.99 units, Duration = 0.01 seconds
    Path 74: Length = 1.0 units, Duration = 0.01 seconds
    Path 75: Length = 0.95 units, Duration = 0.01 seconds
    Path 76: Length = 0.87 units, Duration = 0.01 seconds
    Path 77: Length = 1.09 units, Duration = 0.01 seconds
    Path 78: Length = 0.82 units, Duration = 0.01 seconds
    Path 79: Length = 1.04 units, Duration = 0.01 seconds
    Path 80: Length = 0.83 units, Duration = 0.01 seconds
    Path 81: Length = 0.87 units, Duration = 0.01 seconds
    Path 82: Length = 0.8 units, Duration = 0.01 seconds
    Path 83: Length = 0.75 units, Duration = 0.01 seconds
    Path 84: Length = 0.89 units, Duration = 0.01 seconds
    Path 85: Length = 0.85 units, Duration = 0.01 seconds
    Path 86: Length = 0.86 units, Duration = 0.01 seconds
    Path 87: Length = 0.9 units, Duration = 0.01 seconds
    Path 88: Length = 0.8 units, Duration = 0.01 seconds
    Path 89: Length = 0.99 units, Duration = 0.01 seconds
    Path 90: Length = 0.82 units, Duration = 0.01 seconds
    Path 91: Length = 0.99 units, Duration = 0.01 seconds
    Path 92: Length = 0.86 units, Duration = 0.01 seconds
    Path 93: Length = 1.12 units, Duration = 0.01 seconds
    Path 94: Length = 0.87 units, Duration = 0.01 seconds
    Path 95: Length = 0.74 units, Duration = 0.01 seconds
    Path 96: Length = 0.84 units, Duration = 0.01 seconds
    Path 97: Length = 0.85 units, Duration = 0.01 seconds
    Path 98: Length = 1.08 units, Duration = 0.01 seconds
    Path 99: Length = 1.07 units, Duration = 0.01 seconds
    Path 100: Length = 0.79 units, Duration = 0.01 seconds

Planner: RRTConnect
  Status: Successful
  Total Time Taken: 1.16 seconds
  Number of Paths: 100
  Average Path Length: 0.9725999999999999
  Shortest Path Length: 0.7
  Longest Path Length: 1.47
  Path Length Std Dev: 0.15015072427397747
  Average Time Per Path: 0.0109 seconds
  Time Per Path Std Dev: 0.003192177939902473 seconds

  Paths:
    Path 1: Length = 0.93 units, Duration = 0.01 seconds
    Path 2: Length = 0.99 units, Duration = 0.02 seconds
    Path 3: Length = 0.89 units, Duration = 0.01 seconds
    Path 4: Length = 0.9 units, Duration = 0.01 seconds
    Path 5: Length = 1.0 units, Duration = 0.01 seconds
    Path 6: Length = 1.06 units, Duration = 0.01 seconds
    Path 7: Length = 1.25 units, Duration = 0.01 seconds
    Path 8: Length = 0.82 units, Duration = 0.01 seconds
    Path 9: Length = 0.99 units, Duration = 0.01 seconds
    Path 10: Length = 0.89 units, Duration = 0.01 seconds
    Path 11: Length = 1.04 units, Duration = 0.01 seconds
    Path 12: Length = 0.99 units, Duration = 0.01 seconds
    Path 13: Length = 0.86 units, Duration = 0.01 seconds
    Path 14: Length = 0.96 units, Duration = 0.01 seconds
    Path 15: Length = 0.83 units, Duration = 0.01 seconds
    Path 16: Length = 0.93 units, Duration = 0.02 seconds
    Path 17: Length = 1.12 units, Duration = 0.01 seconds
    Path 18: Length = 0.72 units, Duration = 0.01 seconds
    Path 19: Length = 1.06 units, Duration = 0.02 seconds
    Path 20: Length = 1.37 units, Duration = 0.02 seconds
    Path 21: Length = 0.77 units, Duration = 0.01 seconds
    Path 22: Length = 0.84 units, Duration = 0.01 seconds
    Path 23: Length = 0.82 units, Duration = 0.01 seconds
    Path 24: Length = 0.82 units, Duration = 0.01 seconds
    Path 25: Length = 0.9 units, Duration = 0.01 seconds
    Path 26: Length = 0.91 units, Duration = 0.01 seconds
    Path 27: Length = 1.03 units, Duration = 0.01 seconds
    Path 28: Length = 1.2 units, Duration = 0.01 seconds
    Path 29: Length = 0.93 units, Duration = 0.01 seconds
    Path 30: Length = 0.79 units, Duration = 0.01 seconds
    Path 31: Length = 0.8 units, Duration = 0.01 seconds
    Path 32: Length = 0.97 units, Duration = 0.01 seconds
    Path 33: Length = 1.19 units, Duration = 0.01 seconds
    Path 34: Length = 1.06 units, Duration = 0.01 seconds
    Path 35: Length = 0.87 units, Duration = 0.01 seconds
    Path 36: Length = 0.83 units, Duration = 0.01 seconds
    Path 37: Length = 1.05 units, Duration = 0.02 seconds
    Path 38: Length = 0.89 units, Duration = 0.01 seconds
    Path 39: Length = 0.82 units, Duration = 0.01 seconds
    Path 40: Length = 1.23 units, Duration = 0.01 seconds
    Path 41: Length = 0.84 units, Duration = 0.01 seconds
    Path 42: Length = 1.13 units, Duration = 0.01 seconds
    Path 43: Length = 1.3 units, Duration = 0.01 seconds
    Path 44: Length = 1.19 units, Duration = 0.01 seconds
    Path 45: Length = 0.91 units, Duration = 0.01 seconds
    Path 46: Length = 0.96 units, Duration = 0.01 seconds
    Path 47: Length = 1.15 units, Duration = 0.01 seconds
    Path 48: Length = 0.81 units, Duration = 0.01 seconds
    Path 49: Length = 0.93 units, Duration = 0.01 seconds
    Path 50: Length = 0.85 units, Duration = 0.01 seconds
    Path 51: Length = 0.86 units, Duration = 0.01 seconds
    Path 52: Length = 1.01 units, Duration = 0.01 seconds
    Path 53: Length = 1.33 units, Duration = 0.01 seconds
    Path 54: Length = 1.04 units, Duration = 0.02 seconds
    Path 55: Length = 1.12 units, Duration = 0.02 seconds
    Path 56: Length = 1.03 units, Duration = 0.01 seconds
    Path 57: Length = 0.96 units, Duration = 0.01 seconds
    Path 58: Length = 0.96 units, Duration = 0.01 seconds
    Path 59: Length = 0.88 units, Duration = 0.01 seconds
    Path 60: Length = 0.95 units, Duration = 0.01 seconds
    Path 61: Length = 0.79 units, Duration = 0.02 seconds
    Path 62: Length = 1.06 units, Duration = 0.01 seconds
    Path 63: Length = 0.84 units, Duration = 0.01 seconds
    Path 64: Length = 0.96 units, Duration = 0.01 seconds
    Path 65: Length = 0.84 units, Duration = 0.01 seconds
    Path 66: Length = 0.85 units, Duration = 0.01 seconds
    Path 67: Length = 1.0 units, Duration = 0.01 seconds
    Path 68: Length = 1.47 units, Duration = 0.01 seconds
    Path 69: Length = 0.9 units, Duration = 0.01 seconds
    Path 70: Length = 0.98 units, Duration = 0.01 seconds
    Path 71: Length = 1.29 units, Duration = 0.02 seconds
    Path 72: Length = 0.94 units, Duration = 0.01 seconds
    Path 73: Length = 1.12 units, Duration = 0.02 seconds
    Path 74: Length = 0.88 units, Duration = 0.01 seconds
    Path 75: Length = 0.99 units, Duration = 0.01 seconds
    Path 76: Length = 1.36 units, Duration = 0.01 seconds
    Path 77: Length = 0.92 units, Duration = 0.01 seconds
    Path 78: Length = 0.87 units, Duration = 0.01 seconds
    Path 79: Length = 0.83 units, Duration = 0.01 seconds
    Path 80: Length = 0.92 units, Duration = 0.01 seconds
    Path 81: Length = 0.9 units, Duration = 0.01 seconds
    Path 82: Length = 0.86 units, Duration = 0.01 seconds
    Path 83: Length = 0.9 units, Duration = 0.01 seconds
    Path 84: Length = 0.9 units, Duration = 0.01 seconds
    Path 85: Length = 1.07 units, Duration = 0.01 seconds
    Path 86: Length = 0.82 units, Duration = 0.01 seconds
    Path 87: Length = 0.81 units, Duration = 0.01 seconds
    Path 88: Length = 0.99 units, Duration = 0.01 seconds
    Path 89: Length = 0.82 units, Duration = 0.01 seconds
    Path 90: Length = 0.86 units, Duration = 0.01 seconds
    Path 91: Length = 0.97 units, Duration = 0.01 seconds
    Path 92: Length = 1.06 units, Duration = 0.01 seconds
    Path 93: Length = 1.01 units, Duration = 0.01 seconds
    Path 94: Length = 1.15 units, Duration = 0.01 seconds
    Path 95: Length = 1.02 units, Duration = 0.01 seconds
    Path 96: Length = 1.15 units, Duration = 0.01 seconds
    Path 97: Length = 1.08 units, Duration = 0.01 seconds
    Path 98: Length = 0.96 units, Duration = 0.01 seconds
    Path 99: Length = 0.89 units, Duration = 0.01 seconds
    Path 100: Length = 0.7 units, Duration = 0.0 seconds

Planner: RRTstar
  Status: Successful
  Total Time Taken: 505.91 seconds
  Number of Paths: 100
  Average Path Length: 0.6549
  Shortest Path Length: 0.65
  Longest Path Length: 0.66
  Path Length Std Dev: 0.004998999899979999
  Average Time Per Path: 5.0588 seconds
  Time Per Path Std Dev: 0.11178801366872922 seconds

  Paths:
    Path 1: Length = 0.65 units, Duration = 5.04 seconds
    Path 2: Length = 0.65 units, Duration = 5.03 seconds
    Path 3: Length = 0.65 units, Duration = 5.56 seconds
    Path 4: Length = 0.65 units, Duration = 5.03 seconds
    Path 5: Length = 0.65 units, Duration = 5.03 seconds
    Path 6: Length = 0.66 units, Duration = 5.03 seconds
    Path 7: Length = 0.66 units, Duration = 5.03 seconds
    Path 8: Length = 0.65 units, Duration = 5.03 seconds
    Path 9: Length = 0.66 units, Duration = 5.79 seconds
    Path 10: Length = 0.65 units, Duration = 5.04 seconds
    Path 11: Length = 0.66 units, Duration = 5.04 seconds
    Path 12: Length = 0.65 units, Duration = 5.02 seconds
    Path 13: Length = 0.65 units, Duration = 5.01 seconds
    Path 14: Length = 0.65 units, Duration = 5.02 seconds
    Path 15: Length = 0.66 units, Duration = 5.29 seconds
    Path 16: Length = 0.66 units, Duration = 5.04 seconds
    Path 17: Length = 0.66 units, Duration = 5.04 seconds
    Path 18: Length = 0.66 units, Duration = 5.03 seconds
    Path 19: Length = 0.65 units, Duration = 5.04 seconds
    Path 20: Length = 0.66 units, Duration = 5.04 seconds
    Path 21: Length = 0.65 units, Duration = 5.04 seconds
    Path 22: Length = 0.66 units, Duration = 5.04 seconds
    Path 23: Length = 0.65 units, Duration = 5.04 seconds
    Path 24: Length = 0.65 units, Duration = 5.05 seconds
    Path 25: Length = 0.66 units, Duration = 5.06 seconds
    Path 26: Length = 0.66 units, Duration = 5.03 seconds
    Path 27: Length = 0.66 units, Duration = 5.05 seconds
    Path 28: Length = 0.65 units, Duration = 5.04 seconds
    Path 29: Length = 0.66 units, Duration = 5.03 seconds
    Path 30: Length = 0.65 units, Duration = 5.04 seconds
    Path 31: Length = 0.66 units, Duration = 5.03 seconds
    Path 32: Length = 0.66 units, Duration = 5.03 seconds
    Path 33: Length = 0.65 units, Duration = 5.03 seconds
    Path 34: Length = 0.66 units, Duration = 5.05 seconds
    Path 35: Length = 0.65 units, Duration = 5.05 seconds
    Path 36: Length = 0.66 units, Duration = 5.05 seconds
    Path 37: Length = 0.66 units, Duration = 5.04 seconds
    Path 38: Length = 0.65 units, Duration = 5.04 seconds
    Path 39: Length = 0.66 units, Duration = 5.05 seconds
    Path 40: Length = 0.65 units, Duration = 5.04 seconds
    Path 41: Length = 0.66 units, Duration = 5.04 seconds
    Path 42: Length = 0.66 units, Duration = 5.04 seconds
    Path 43: Length = 0.66 units, Duration = 5.05 seconds
    Path 44: Length = 0.66 units, Duration = 5.04 seconds
    Path 45: Length = 0.66 units, Duration = 5.03 seconds
    Path 46: Length = 0.65 units, Duration = 5.04 seconds
    Path 47: Length = 0.66 units, Duration = 5.03 seconds
    Path 48: Length = 0.66 units, Duration = 5.03 seconds
    Path 49: Length = 0.66 units, Duration = 5.04 seconds
    Path 50: Length = 0.66 units, Duration = 5.04 seconds
    Path 51: Length = 0.65 units, Duration = 5.03 seconds
    Path 52: Length = 0.66 units, Duration = 5.04 seconds
    Path 53: Length = 0.66 units, Duration = 5.03 seconds
    Path 54: Length = 0.66 units, Duration = 5.03 seconds
    Path 55: Length = 0.65 units, Duration = 5.03 seconds
    Path 56: Length = 0.66 units, Duration = 5.03 seconds
    Path 57: Length = 0.66 units, Duration = 5.03 seconds
    Path 58: Length = 0.66 units, Duration = 5.64 seconds
    Path 59: Length = 0.66 units, Duration = 5.06 seconds
    Path 60: Length = 0.65 units, Duration = 5.04 seconds
    Path 61: Length = 0.65 units, Duration = 5.03 seconds
    Path 62: Length = 0.66 units, Duration = 5.05 seconds
    Path 63: Length = 0.66 units, Duration = 5.04 seconds
    Path 64: Length = 0.65 units, Duration = 5.18 seconds
    Path 65: Length = 0.66 units, Duration = 5.05 seconds
    Path 66: Length = 0.65 units, Duration = 5.02 seconds
    Path 67: Length = 0.65 units, Duration = 5.01 seconds
    Path 68: Length = 0.66 units, Duration = 5.05 seconds
    Path 69: Length = 0.65 units, Duration = 5.04 seconds
    Path 70: Length = 0.65 units, Duration = 5.04 seconds
    Path 71: Length = 0.65 units, Duration = 5.05 seconds
    Path 72: Length = 0.65 units, Duration = 5.05 seconds
    Path 73: Length = 0.65 units, Duration = 5.04 seconds
    Path 74: Length = 0.66 units, Duration = 5.04 seconds
    Path 75: Length = 0.65 units, Duration = 5.03 seconds
    Path 76: Length = 0.66 units, Duration = 5.03 seconds
    Path 77: Length = 0.65 units, Duration = 5.05 seconds
    Path 78: Length = 0.65 units, Duration = 5.03 seconds
    Path 79: Length = 0.65 units, Duration = 5.03 seconds
    Path 80: Length = 0.66 units, Duration = 5.03 seconds
    Path 81: Length = 0.65 units, Duration = 5.03 seconds
    Path 82: Length = 0.65 units, Duration = 5.03 seconds
    Path 83: Length = 0.66 units, Duration = 5.05 seconds
    Path 84: Length = 0.66 units, Duration = 5.04 seconds
    Path 85: Length = 0.65 units, Duration = 5.03 seconds
    Path 86: Length = 0.65 units, Duration = 5.02 seconds
    Path 87: Length = 0.65 units, Duration = 5.02 seconds
    Path 88: Length = 0.65 units, Duration = 5.03 seconds
    Path 89: Length = 0.65 units, Duration = 5.03 seconds
    Path 90: Length = 0.65 units, Duration = 5.04 seconds
    Path 91: Length = 0.66 units, Duration = 5.03 seconds
    Path 92: Length = 0.65 units, Duration = 5.03 seconds
    Path 93: Length = 0.65 units, Duration = 5.03 seconds
    Path 94: Length = 0.65 units, Duration = 5.03 seconds
    Path 95: Length = 0.66 units, Duration = 5.04 seconds
    Path 96: Length = 0.65 units, Duration = 5.03 seconds
    Path 97: Length = 0.65 units, Duration = 5.03 seconds
    Path 98: Length = 0.66 units, Duration = 5.03 seconds
    Path 99: Length = 0.65 units, Duration = 5.03 seconds
    Path 100: Length = 0.66 units, Duration = 5.04 seconds

Planner: SST
  Status: Failed
  Error Message: Error occurred for planner SST: local variable 'path' referenced before assignment

Planner: T-RRT
  Status: Failed
  Error Message: Error occurred for planner T-RRT: 'NoneType' object is not callable

Planner: VF-RRT
  Status: Failed
  Error Message: Error occurred for planner VF-RRT: 'NoneType' object is not callable

Planner: pRRT
  Status: Failed
  Error Message: Error occurred for planner pRRT: 'NoneType' object is not callable

Planner: LazyRRT
  Status: Successful
  Total Time Taken: 2.23 seconds
  Number of Paths: 100
  Average Path Length: 1.0598
  Shortest Path Length: 0.77
  Longest Path Length: 1.51
  Path Length Std Dev: 0.1606796813539285
  Average Time Per Path: 0.021799999999999996 seconds
  Time Per Path Std Dev: 0.011435033887138244 seconds

  Paths:
    Path 1: Length = 1.46 units, Duration = 0.02 seconds
    Path 2: Length = 0.95 units, Duration = 0.01 seconds
    Path 3: Length = 0.96 units, Duration = 0.01 seconds
    Path 4: Length = 1.28 units, Duration = 0.03 seconds
    Path 5: Length = 1.09 units, Duration = 0.02 seconds
    Path 6: Length = 0.86 units, Duration = 0.01 seconds
    Path 7: Length = 0.96 units, Duration = 0.01 seconds
    Path 8: Length = 1.02 units, Duration = 0.01 seconds
    Path 9: Length = 1.05 units, Duration = 0.04 seconds
    Path 10: Length = 1.21 units, Duration = 0.03 seconds
    Path 11: Length = 1.08 units, Duration = 0.01 seconds
    Path 12: Length = 1.02 units, Duration = 0.02 seconds
    Path 13: Length = 1.13 units, Duration = 0.02 seconds
    Path 14: Length = 1.02 units, Duration = 0.02 seconds
    Path 15: Length = 0.99 units, Duration = 0.02 seconds
    Path 16: Length = 1.41 units, Duration = 0.08 seconds
    Path 17: Length = 0.87 units, Duration = 0.01 seconds
    Path 18: Length = 0.98 units, Duration = 0.02 seconds
    Path 19: Length = 1.13 units, Duration = 0.03 seconds
    Path 20: Length = 0.92 units, Duration = 0.01 seconds
    Path 21: Length = 0.89 units, Duration = 0.01 seconds
    Path 22: Length = 1.0 units, Duration = 0.02 seconds
    Path 23: Length = 1.17 units, Duration = 0.04 seconds
    Path 24: Length = 1.15 units, Duration = 0.02 seconds
    Path 25: Length = 0.88 units, Duration = 0.01 seconds
    Path 26: Length = 1.21 units, Duration = 0.04 seconds
    Path 27: Length = 1.51 units, Duration = 0.03 seconds
    Path 28: Length = 0.89 units, Duration = 0.02 seconds
    Path 29: Length = 1.26 units, Duration = 0.04 seconds
    Path 30: Length = 1.27 units, Duration = 0.02 seconds
    Path 31: Length = 1.08 units, Duration = 0.02 seconds
    Path 32: Length = 0.94 units, Duration = 0.02 seconds
    Path 33: Length = 1.12 units, Duration = 0.02 seconds
    Path 34: Length = 1.12 units, Duration = 0.02 seconds
    Path 35: Length = 0.98 units, Duration = 0.01 seconds
    Path 36: Length = 0.9 units, Duration = 0.02 seconds
    Path 37: Length = 0.89 units, Duration = 0.02 seconds
    Path 38: Length = 0.92 units, Duration = 0.01 seconds
    Path 39: Length = 0.9 units, Duration = 0.02 seconds
    Path 40: Length = 1.18 units, Duration = 0.02 seconds
    Path 41: Length = 1.03 units, Duration = 0.02 seconds
    Path 42: Length = 0.88 units, Duration = 0.01 seconds
    Path 43: Length = 1.18 units, Duration = 0.02 seconds
    Path 44: Length = 1.05 units, Duration = 0.02 seconds
    Path 45: Length = 1.09 units, Duration = 0.02 seconds
    Path 46: Length = 1.17 units, Duration = 0.02 seconds
    Path 47: Length = 1.15 units, Duration = 0.06 seconds
    Path 48: Length = 1.09 units, Duration = 0.05 seconds
    Path 49: Length = 0.77 units, Duration = 0.01 seconds
    Path 50: Length = 0.9 units, Duration = 0.02 seconds
    Path 51: Length = 1.03 units, Duration = 0.02 seconds
    Path 52: Length = 1.22 units, Duration = 0.03 seconds
    Path 53: Length = 0.9 units, Duration = 0.03 seconds
    Path 54: Length = 1.28 units, Duration = 0.02 seconds
    Path 55: Length = 1.23 units, Duration = 0.03 seconds
    Path 56: Length = 0.99 units, Duration = 0.04 seconds
    Path 57: Length = 1.12 units, Duration = 0.02 seconds
    Path 58: Length = 1.04 units, Duration = 0.01 seconds
    Path 59: Length = 1.09 units, Duration = 0.03 seconds
    Path 60: Length = 1.38 units, Duration = 0.02 seconds
    Path 61: Length = 0.8 units, Duration = 0.01 seconds
    Path 62: Length = 0.99 units, Duration = 0.01 seconds
    Path 63: Length = 0.8 units, Duration = 0.01 seconds
    Path 64: Length = 1.11 units, Duration = 0.03 seconds
    Path 65: Length = 1.21 units, Duration = 0.02 seconds
    Path 66: Length = 0.98 units, Duration = 0.01 seconds
    Path 67: Length = 1.19 units, Duration = 0.03 seconds
    Path 68: Length = 0.87 units, Duration = 0.02 seconds
    Path 69: Length = 0.89 units, Duration = 0.02 seconds
    Path 70: Length = 1.32 units, Duration = 0.02 seconds
    Path 71: Length = 0.86 units, Duration = 0.02 seconds
    Path 72: Length = 1.14 units, Duration = 0.02 seconds
    Path 73: Length = 1.02 units, Duration = 0.02 seconds
    Path 74: Length = 0.87 units, Duration = 0.01 seconds
    Path 75: Length = 1.22 units, Duration = 0.02 seconds
    Path 76: Length = 1.1 units, Duration = 0.02 seconds
    Path 77: Length = 1.15 units, Duration = 0.05 seconds
    Path 78: Length = 1.24 units, Duration = 0.02 seconds
    Path 79: Length = 1.44 units, Duration = 0.03 seconds
    Path 80: Length = 1.09 units, Duration = 0.02 seconds
    Path 81: Length = 0.87 units, Duration = 0.02 seconds
    Path 82: Length = 0.89 units, Duration = 0.03 seconds
    Path 83: Length = 1.15 units, Duration = 0.03 seconds
    Path 84: Length = 0.95 units, Duration = 0.03 seconds
    Path 85: Length = 1.07 units, Duration = 0.04 seconds
    Path 86: Length = 1.38 units, Duration = 0.01 seconds
    Path 87: Length = 1.29 units, Duration = 0.01 seconds
    Path 88: Length = 0.96 units, Duration = 0.02 seconds
    Path 89: Length = 0.9 units, Duration = 0.02 seconds
    Path 90: Length = 0.83 units, Duration = 0.01 seconds
    Path 91: Length = 0.85 units, Duration = 0.02 seconds
    Path 92: Length = 1.23 units, Duration = 0.02 seconds
    Path 93: Length = 0.92 units, Duration = 0.02 seconds
    Path 94: Length = 0.98 units, Duration = 0.01 seconds
    Path 95: Length = 0.99 units, Duration = 0.01 seconds
    Path 96: Length = 1.05 units, Duration = 0.02 seconds
    Path 97: Length = 0.93 units, Duration = 0.02 seconds
    Path 98: Length = 0.96 units, Duration = 0.03 seconds
    Path 99: Length = 1.13 units, Duration = 0.02 seconds
    Path 100: Length = 1.12 units, Duration = 0.02 seconds

Planner: TSRRT
  Status: Failed
  Error Message: Error occurred for planner TSRRT: 'NoneType' object is not callable

Planner: EST
  Status: Successful
  Total Time Taken: 3.13 seconds
  Number of Paths: 100
  Average Path Length: 0.8989
  Shortest Path Length: 0.67
  Longest Path Length: 1.25
  Path Length Std Dev: 0.12158038493112283
  Average Time Per Path: 0.031099999999999996 seconds
  Time Per Path Std Dev: 0.017600852252092795 seconds

  Paths:
    Path 1: Length = 0.86 units, Duration = 0.01 seconds
    Path 2: Length = 0.98 units, Duration = 0.04 seconds
    Path 3: Length = 0.74 units, Duration = 0.01 seconds
    Path 4: Length = 0.88 units, Duration = 0.03 seconds
    Path 5: Length = 0.8 units, Duration = 0.03 seconds
    Path 6: Length = 0.91 units, Duration = 0.05 seconds
    Path 7: Length = 0.95 units, Duration = 0.02 seconds
    Path 8: Length = 0.85 units, Duration = 0.01 seconds
    Path 9: Length = 1.0 units, Duration = 0.07 seconds
    Path 10: Length = 0.93 units, Duration = 0.02 seconds
    Path 11: Length = 0.93 units, Duration = 0.01 seconds
    Path 12: Length = 0.85 units, Duration = 0.03 seconds
    Path 13: Length = 0.7 units, Duration = 0.01 seconds
    Path 14: Length = 0.8 units, Duration = 0.04 seconds
    Path 15: Length = 0.85 units, Duration = 0.05 seconds
    Path 16: Length = 1.0 units, Duration = 0.02 seconds
    Path 17: Length = 0.7 units, Duration = 0.05 seconds
    Path 18: Length = 0.89 units, Duration = 0.03 seconds
    Path 19: Length = 0.94 units, Duration = 0.02 seconds
    Path 20: Length = 0.77 units, Duration = 0.02 seconds
    Path 21: Length = 0.83 units, Duration = 0.03 seconds
    Path 22: Length = 0.78 units, Duration = 0.02 seconds
    Path 23: Length = 1.02 units, Duration = 0.05 seconds
    Path 24: Length = 0.93 units, Duration = 0.05 seconds
    Path 25: Length = 0.86 units, Duration = 0.05 seconds
    Path 26: Length = 0.82 units, Duration = 0.03 seconds
    Path 27: Length = 0.74 units, Duration = 0.05 seconds
    Path 28: Length = 1.02 units, Duration = 0.06 seconds
    Path 29: Length = 0.8 units, Duration = 0.01 seconds
    Path 30: Length = 1.11 units, Duration = 0.05 seconds
    Path 31: Length = 0.72 units, Duration = 0.02 seconds
    Path 32: Length = 1.04 units, Duration = 0.02 seconds
    Path 33: Length = 0.73 units, Duration = 0.01 seconds
    Path 34: Length = 0.67 units, Duration = 0.01 seconds
    Path 35: Length = 0.94 units, Duration = 0.02 seconds
    Path 36: Length = 0.77 units, Duration = 0.04 seconds
    Path 37: Length = 0.91 units, Duration = 0.04 seconds
    Path 38: Length = 1.11 units, Duration = 0.04 seconds
    Path 39: Length = 0.97 units, Duration = 0.03 seconds
    Path 40: Length = 0.79 units, Duration = 0.05 seconds
    Path 41: Length = 1.05 units, Duration = 0.05 seconds
    Path 42: Length = 1.0 units, Duration = 0.02 seconds
    Path 43: Length = 0.94 units, Duration = 0.02 seconds
    Path 44: Length = 1.05 units, Duration = 0.03 seconds
    Path 45: Length = 1.11 units, Duration = 0.03 seconds
    Path 46: Length = 0.98 units, Duration = 0.02 seconds
    Path 47: Length = 0.83 units, Duration = 0.05 seconds
    Path 48: Length = 0.76 units, Duration = 0.03 seconds
    Path 49: Length = 1.07 units, Duration = 0.03 seconds
    Path 50: Length = 1.12 units, Duration = 0.02 seconds
    Path 51: Length = 0.87 units, Duration = 0.05 seconds
    Path 52: Length = 1.0 units, Duration = 0.01 seconds
    Path 53: Length = 0.89 units, Duration = 0.03 seconds
    Path 54: Length = 0.85 units, Duration = 0.04 seconds
    Path 55: Length = 0.94 units, Duration = 0.01 seconds
    Path 56: Length = 0.82 units, Duration = 0.04 seconds
    Path 57: Length = 0.9 units, Duration = 0.06 seconds
    Path 58: Length = 0.91 units, Duration = 0.04 seconds
    Path 59: Length = 0.92 units, Duration = 0.02 seconds
    Path 60: Length = 0.84 units, Duration = 0.08 seconds
    Path 61: Length = 1.13 units, Duration = 0.04 seconds
    Path 62: Length = 0.92 units, Duration = 0.04 seconds
    Path 63: Length = 1.07 units, Duration = 0.06 seconds
    Path 64: Length = 0.76 units, Duration = 0.03 seconds
    Path 65: Length = 0.81 units, Duration = 0.03 seconds
    Path 66: Length = 0.84 units, Duration = 0.03 seconds
    Path 67: Length = 0.88 units, Duration = 0.05 seconds
